Date,Action,Symbol,Description,Quantity,Price,Fees & Comm,Amount
07/07/2026,Buy,AMZN,AMAZON.COM INC,53,$246.22,,"-$13,049.66"
07/07/2026,Buy,AAPL,APPLE INC,47,$313.72,,"-$14,744.84"
06/30/2026,Qualified Dividend,AVGO,BROADCOM INC,,,,$32.50
06/29/2026,Credit Interest,,SCHWAB1 INT 05/28-06/28,,,,$0.32
06/15/2026,Qualified Dividend,GOOGL,ALPHABET INC CLASS CLASS A,,,,$16.50
06/12/2026,Qualified Dividend,PFE,PFIZER INC,,,,$430.00
06/01/2026,Qualified Dividend,F,FORD MTR CO DEL,,,,$90.00
05/29/2026,Non-Qualified Div,SBRA,SABRA HEALTH CARE REIT IREIT,,,,$180.00
05/28/2026,Credit Interest,,SCHWAB1 INT 04/29-05/27,,,,$0.29
05/14/2026,Qualified Dividend,AAPL,APPLE INC,,,,$20.25
05/01/2026,Qualified Dividend,VZ,VERIZON COMMUNICATIONS I,,,,$424.50
05/01/2026,Qualified Dividend,T,AT&T INC,,,,$222.00
04/30/2026,Cash Dividend,NLY,ANNALY CAP MGMT INC REIT,,,,$700.00
04/29/2026,Credit Interest,,SCHWAB1 INT 03/30-04/28,,,,$0.30
04/08/2026,ADR Mgmt Fee,NVO,NOVO-NORDISK A S FSPONSORED ADR 1 ADR REPS 1 ORD SHS,,,,-$6.00
04/08/2026,Foreign Tax Paid,NVO,NOVO-NORDISK A S FSPONSORED ADR 1 ADR REPS 1 ORD SHS,,,,-$131.48
04/08/2026,Qualified Dividend,NVO,NOVO-NORDISK A S FSPONSORED ADR 1 ADR REPS 1 ORD SHS,,,,$486.95
03/31/2026,Qualified Dividend,AVGO,BROADCOM INC,,,,$32.50
03/30/2026,Credit Interest,,SCHWAB1 INT 02/26-03/29,,,,$0.32
03/16/2026,Qualified Dividend,GOOGL,ALPHABET INC CLASS CLASS A,,,,$15.75
03/06/2026,Qualified Dividend,PFE,PFIZER INC,,,,$344.00
03/02/2026,Qualified Dividend,F,FORD MTR CO DEL,,,,$90.00
02/27/2026,Non-Qualified Div,SBRA,SABRA HEALTH CARE REIT IREIT,,,,$180.00
02/26/2026,Credit Interest,,SCHWAB1 INT 01/29-02/25,,,,$0.28
02/12/2026,Qualified Dividend,AAPL,APPLE INC,,,,$19.50
02/10/2026,Buy,Z,ZILLOW GROUP INC CLASS CLASS C,150,$55.76,,"-$8,364.00"
02/04/2026,Sell,CRML,CRITICAL METALS CORP. F,350,$14.38,$0.07,"$5,031.22"
02/03/2026,Buy,NLY,ANNALY CAP MGMT INC REIT,200,$22.73,,"-$4,545.00"
02/03/2026,Buy,T,AT&T INC,200,$26.62,,"-$5,323.80"
02/03/2026,Buy,PFE,PFIZER INC,200,$25.76,,"-$5,151.98"
02/02/2026,Qualified Dividend,VZ,VERIZON COMMUNICATIONS I,,,,$414.00
02/02/2026,Qualified Dividend,T,AT&T INC,,,,$111.00
01/30/2026,Sell,APLD,APPLIED DIGITAL CORP,300,$34.45,$0.06,"$10,333.44"
01/30/2026,Pr Yr Cash Div,NLY,ANNALY CAP MGMT INC REIT,,,,$210.00
01/29/2026,Credit Interest,,SCHWAB1 INT 12/30-01/28,,,,$0.79
01/27/2026,Promotional Award,,PROMOTIONAL AWARD,,,,$500.00
01/20/2026,Buy,VALE,VALE S A FSPONSORED ADR 1 ADR REPS 1 ORD SHS,200,$14.85,,"-$2,969.80"
01/20/2026,Buy,T,AT&T INC,200,$23.60,,"-$4,719.63"
01/20/2026,Buy,OPEN,OPENDOOR TECHNOLOGIES INCLASS CLASS A,500,$6.38,,"-$3,187.50"
01/20/2026,Buy,NLY,ANNALY CAP MGMT INC REIT,300,$23.98,,"-$7,192.50"
01/20/2026,Buy,GOOGL,ALPHABET INC CLASS A,25,$327.09,,"-$8,177.25"
01/20/2026,Buy,CAVA,CAVA GROUP INC,50,$71.46,,"-$3,573.00"
01/20/2026,Buy,BA,BOEING CO,25,$247.67,,"-$6,191.63"
01/20/2026,Buy,AMZN,AMAZON.COM INC,25,$234.14,,"-$5,853.50"
01/20/2026,Buy,AAPL,APPLE INC,25,$250.66,,"-$6,266.55"
01/20/2026,Buy,F,FORD MTR CO DEL,200,$13.33,,"-$2,665.00"
